"dateTime","value__bpm","value__confidence"
"02/02/19 21:24:04","74","0"
"02/02/19 21:28:04","70","0"
"02/02/19 21:33:53","70","0"
"02/02/19 22:07:09","70","0"
"02/02/19 22:07:15","70","0"
"02/02/19 22:11:40","70","0"
"02/02/19 22:13:05","70","0"
"02/02/19 22:13:15","70","0"
"02/02/19 22:18:14","70","0"
"02/02/19 22:32:06","70","0"
"02/02/19 22:35:58","70","0"
"02/02/19 22:38:19","70","0"
"02/02/19 22:46:17","70","0"
"02/02/19 22:46:27","67","2"
"02/02/19 23:08:39","70","0"
"02/02/19 23:08:54","70","0"
"02/02/19 23:08:59","84","2"
"02/02/19 23:09:14","81","0"
"02/02/19 23:09:29","81","0"
"02/02/19 23:09:44","85","0"
"02/02/19 23:09:49","107","0"
"02/02/19 23:10:04","107","0"
"02/02/19 23:10:09","102","0"
"02/02/19 23:10:14","73","3"
"02/02/19 23:10:19","74","3"
"02/02/19 23:10:24","71","3"
"02/02/19 23:10:29","68","3"
"02/02/19 23:10:39","67","2"
"02/02/19 23:10:44","66","2"
"02/02/19 23:10:59","75","3"
"02/02/19 23:11:04","77","2"
"02/02/19 23:11:14","76","2"
"02/02/19 23:11:29","76","2"
"02/02/19 23:11:30","76","2"
"02/02/19 23:11:35","75","2"
"02/02/19 23:11:45","73","2"
"02/02/19 23:11:50","72","2"
"02/02/19 23:12:05","72","2"
"02/02/19 23:12:15","71","2"
"02/02/19 23:12:20","70","2"
"02/02/19 23:12:35","70","2"
"02/02/19 23:12:40","69","2"
"02/02/19 23:12:45","68","2"
"02/02/19 23:12:50","69","2"
"02/02/19 23:12:55","67","3"
"02/02/19 23:13:00","67","2"
"02/02/19 23:13:10","66","2"
"02/02/19 23:13:25","66","2"
"02/02/19 23:13:40","66","2"
"02/02/19 23:13:50","70","3"
"02/02/19 23:13:55","69","3"
"02/02/19 23:14:00","66","3"
"02/02/19 23:14:05","65","3"
"02/02/19 23:14:10","64","3"
"02/02/19 23:14:15","62","2"
"02/02/19 23:14:20","63","2"
"02/02/19 23:14:25","63","3"
"02/02/19 23:14:30","63","2"
"02/02/19 23:14:40","64","2"
"02/02/19 23:14:45","64","3"
"02/02/19 23:14:52","64","3"
"02/02/19 23:15:02","64","2"
"02/02/19 23:15:07","65","3"
"02/02/19 23:15:12","66","3"
"02/02/19 23:15:17","65","3"
"02/02/19 23:15:27","67","3"
"02/02/19 23:15:32","66","3"
"02/02/19 23:15:37","66","2"
"02/02/19 23:15:52","66","2"
"02/02/19 23:15:57","65","2"
"02/02/19 23:16:12","65","2"
"02/02/19 23:16:22","61","3"
"02/02/19 23:16:27","60","3"
"02/02/19 23:16:37","61","3"
"02/02/19 23:16:42","59","3"
"02/02/19 23:16:47","60","3"
"02/02/19 23:16:52","64","3"
"02/02/19 23:16:57","67","3"
"02/02/19 23:17:02","64","3"
"02/02/19 23:17:07","61","3"
"02/02/19 23:17:22","61","3"
"02/02/19 23:17:27","62","3"
"02/02/19 23:17:32","63","3"
"02/02/19 23:17:47","63","2"
"02/02/19 23:18:02","62","2"
"02/02/19 23:18:17","62","2"
"02/02/19 23:18:27","65","3"
"02/02/19 23:18:34","62","3"
"02/02/19 23:18:39","60","3"
"02/02/19 23:18:44","61","3"
"02/02/19 23:18:49","60","3"
"02/02/19 23:18:59","61","3"
"02/02/19 23:19:09","60","3"
"02/02/19 23:19:14","61","3"
"02/02/19 23:19:29","63","2"
"02/02/19 23:19:44","63","2"
"02/02/19 23:19:59","64","2"
"02/02/19 23:20:04","69","2"
"02/02/19 23:20:09","66","3"
"02/02/19 23:20:14","63","3"
"02/02/19 23:20:19","62","2"
"02/02/19 23:20:34","65","3"
"02/02/19 23:20:44","64","3"
"02/02/19 23:20:49","61","3"
"02/02/19 23:20:54","62","3"
"02/02/19 23:21:04","61","3"
"02/02/19 23:21:14","62","3"
"02/02/19 23:21:24","63","3"
"02/02/19 23:21:29","64","3"
"02/02/19 23:21:34","65","3"
"02/02/19 23:21:39","65","2"
"02/02/19 23:21:44","64","2"
"02/02/19 23:21:54","65","2"
"02/02/19 23:21:59","70","2"
"02/02/19 23:22:06","65","3"
"02/02/19 23:22:11","64","3"
"02/02/19 23:22:16","64","2"
"02/02/19 23:22:26","63","2"
"02/02/19 23:22:31","64","2"
"02/02/19 23:22:46","68","3"
"02/02/19 23:22:51","65","3"
"02/02/19 23:22:56","62","3"
"02/02/19 23:23:01","61","3"
"02/02/19 23:23:06","63","3"
"02/02/19 23:23:16","64","3"
"02/02/19 23:23:21","65","3"
"02/02/19 23:23:26","66","3"
"02/02/19 23:23:31","65","3"
"02/02/19 23:23:36","64","3"
"02/02/19 23:23:51","64","3"
"02/02/19 23:23:56","65","3"
"02/02/19 23:24:01","66","3"
"02/02/19 23:24:06","65","3"
"02/02/19 23:24:11","64","3"
"02/02/19 23:24:16","64","2"
"02/02/19 23:24:21","64","3"
"02/02/19 23:24:36","65","2"
"02/02/19 23:24:41","65","3"
"02/02/19 23:24:46","65","2"
"02/02/19 23:24:51","66","3"
"02/02/19 23:24:56","65","3"
"02/02/19 23:25:03","70","3"
"02/02/19 23:25:08","71","3"
"02/02/19 23:25:13","67","3"
"02/02/19 23:25:18","65","3"
"02/02/19 23:25:23","64","3"
"02/02/19 23:25:28","63","3"
"02/02/19 23:25:33","64","3"
"02/02/19 23:25:38","63","3"
"02/02/19 23:25:43","64","3"
"02/02/19 23:25:48","65","3"
"02/02/19 23:25:53","64","3"
"02/02/19 23:25:58","63","3"
"02/02/19 23:26:03","63","2"
"02/02/19 23:26:13","64","3"
